index,logical_time,stock_units,reorder_level
0,d000,80.00,20.00
1,d001,79.10,20.00
2,d002,78.20,20.00
3,d003,77.30,20.00
4,d004,76.40,20.00
5,d005,75.50,20.00
6,d006,74.60,20.00
7,d007,73.70,20.00
8,d008,72.80,20.00
9,d009,71.90,20.00
10,d010,71.00,20.00
11,d011,70.10,20.00
12,d012,69.20,20.00
13,d013,68.30,20.00
14,d014,67.40,20.00
15,d015,66.50,20.00
16,d016,65.60,20.00
17,d017,64.70,20.00
18,d018,63.80,20.00
19,d019,62.90,20.00
20,d020,62.00,20.00
21,d021,61.10,20.00
22,d022,60.20,20.00
23,d023,59.30,20.00
24,d024,58.40,20.00
25,d025,57.50,20.00
26,d026,56.60,20.00
27,d027,55.70,20.00
28,d028,54.80,20.00
29,d029,53.90,20.00
30,d030,53.00,20.00
31,d031,52.10,20.00
32,d032,51.20,20.00
33,d033,50.30,20.00
34,d034,49.40,20.00
35,d035,48.50,20.00
36,d036,47.60,20.00
37,d037,46.70,20.00
38,d038,45.80,20.00
39,d039,44.90,20.00
40,d040,44.00,20.00
41,d041,43.10,20.00
42,d042,42.20,20.00
43,d043,41.30,20.00
44,d044,40.40,20.00
45,d045,39.50,20.00
46,d046,38.60,20.00
47,d047,37.70,20.00
48,d048,36.80,20.00
49,d049,35.90,20.00
50,d050,35.00,20.00
51,d051,34.10,20.00
52,d052,33.20,20.00
53,d053,32.30,20.00
54,d054,31.40,20.00
55,d055,30.50,20.00
56,d056,29.60,20.00
57,d057,28.70,20.00
58,d058,27.80,20.00
59,d059,26.90,20.00
60,d060,26.00,20.00
61,d061,25.10,20.00
62,d062,24.20,20.00
63,d063,23.30,20.00
64,d064,22.40,20.00
65,d065,21.50,20.00
66,d066,20.60,20.00
67,d067,19.70,20.00
68,d068,18.80,20.00
69,d069,17.90,20.00
70,d070,17.00,20.00
71,d071,16.10,20.00
72,d072,15.20,20.00
73,d073,14.30,20.00
74,d074,13.40,20.00
75,d075,12.50,20.00
76,d076,11.60,20.00
77,d077,10.70,20.00
78,d078,9.80,20.00
79,d079,8.90,20.00
80,d080,8.00,20.00
81,d081,7.10,20.00
82,d082,6.20,20.00
83,d083,5.30,20.00
84,d084,5.00,20.00
85,d085,5.00,20.00
86,d086,5.00,20.00
87,d087,5.00,20.00
88,d088,5.00,20.00
89,d089,5.00,20.00
90,d090,5.00,20.00
91,d091,5.00,20.00
92,d092,5.00,20.00
93,d093,5.00,20.00
94,d094,5.00,20.00
95,d095,5.00,20.00
96,d096,5.00,20.00
97,d097,5.00,20.00
98,d098,5.00,20.00
99,d099,5.00,20.00
