index,logical_time,daily_sales,baseline_sales
0,d000,940.00,1000.00
1,d001,952.00,1010.00
2,d002,964.00,1020.00
3,d003,976.00,1030.00
4,d004,988.00,1040.00
5,d005,1000.00,1050.00
6,d006,1012.00,1060.00
7,d007,1024.00,1000.00
8,d008,1036.00,1010.00
9,d009,940.00,1020.00
10,d010,952.00,1030.00
11,d011,964.00,1040.00
12,d012,976.00,1050.00
13,d013,988.00,1060.00
14,d014,1000.00,1000.00
15,d015,1012.00,1010.00
16,d016,1024.00,1020.00
17,d017,1036.00,1030.00
18,d018,940.00,1040.00
19,d019,952.00,1050.00
20,d020,964.00,1060.00
21,d021,976.00,1000.00
22,d022,988.00,1010.00
23,d023,1000.00,1020.00
24,d024,1012.00,1030.00
25,d025,1024.00,1040.00
26,d026,1036.00,1050.00
27,d027,940.00,1060.00
28,d028,952.00,1000.00
29,d029,964.00,1010.00
30,d030,976.00,1020.00
31,d031,988.00,1030.00
32,d032,1000.00,1040.00
33,d033,1012.00,1050.00
34,d034,1024.00,1060.00
35,d035,1036.00,1000.00
36,d036,940.00,1010.00
37,d037,952.00,1020.00
38,d038,964.00,1030.00
39,d039,976.00,1040.00
40,d040,988.00,1050.00
41,d041,1000.00,1060.00
42,d042,1012.00,1000.00
43,d043,1024.00,1010.00
44,d044,1036.00,1020.00
45,d045,940.00,1030.00
46,d046,952.00,1040.00
47,d047,964.00,1050.00
48,d048,976.00,1060.00
49,d049,988.00,1000.00
50,d050,1000.00,1010.00
51,d051,1012.00,1020.00
52,d052,1024.00,1030.00
53,d053,1036.00,1040.00
54,d054,940.00,1050.00
55,d055,952.00,1060.00
56,d056,964.00,1000.00
57,d057,976.00,1010.00
58,d058,988.00,1020.00
59,d059,1000.00,1030.00
60,d060,1012.00,1040.00
61,d061,1024.00,1050.00
62,d062,1036.00,1060.00
63,d063,940.00,1000.00
64,d064,952.00,1010.00
65,d065,964.00,1020.00
66,d066,976.00,1030.00
67,d067,988.00,1040.00
68,d068,1000.00,1050.00
69,d069,1012.00,1060.00
70,d070,530.00,1000.00
71,d071,535.00,1010.00
72,d072,520.00,1020.00
73,d073,525.00,1030.00
74,d074,530.00,1040.00
75,d075,535.00,1050.00
76,d076,520.00,1060.00
77,d077,525.00,1000.00
78,d078,530.00,1010.00
79,d079,535.00,1020.00
80,d080,520.00,1030.00
81,d081,525.00,1040.00
82,d082,530.00,1050.00
83,d083,535.00,1060.00
84,d084,520.00,1000.00
85,d085,525.00,1010.00
86,d086,1000.00,1020.00
87,d087,1012.00,1030.00
88,d088,1024.00,1040.00
89,d089,1036.00,1050.00
90,d090,940.00,1060.00
91,d091,952.00,1000.00
92,d092,964.00,1010.00
93,d093,976.00,1020.00
94,d094,988.00,1030.00
95,d095,1000.00,1040.00
96,d096,1012.00,1050.00
97,d097,1024.00,1060.00
98,d098,1036.00,1000.00
99,d099,940.00,1010.00
