index,logical_time,raw_signal,debounced_signal
0,t000,0,0
1,t001,0,0
2,t002,0,0
3,t003,0,0
4,t004,0,0
5,t005,0,0
6,t006,0,0
7,t007,0,0
8,t008,0,0
9,t009,0,0
10,t010,0,0
11,t011,0,0
12,t012,0,0
13,t013,0,0
14,t014,0,0
15,t015,0,0
16,t016,0,0
17,t017,0,0
18,t018,0,0
19,t019,0,0
20,t020,0,0
21,t021,0,0
22,t022,0,0
23,t023,0,0
24,t024,0,0
25,t025,0,0
26,t026,0,0
27,t027,0,0
28,t028,0,0
29,t029,0,0
30,t030,1,0
31,t031,0,0
32,t032,1,0
33,t033,1,0
34,t034,0,0
35,t035,1,0
36,t036,0,0
37,t037,1,0
38,t038,1,1
39,t039,1,1
40,t040,1,1
41,t041,1,1
42,t042,1,1
43,t043,1,1
44,t044,1,1
45,t045,1,1
46,t046,1,1
47,t047,1,1
48,t048,1,1
49,t049,1,1
50,t050,1,1
51,t051,1,1
52,t052,1,1
53,t053,1,1
54,t054,1,1
55,t055,1,1
56,t056,1,1
57,t057,1,1
58,t058,1,1
59,t059,1,1
60,t060,1,1
61,t061,1,1
62,t062,1,1
63,t063,1,1
64,t064,1,1
65,t065,1,1
66,t066,1,1
67,t067,1,1
68,t068,1,1
69,t069,1,1
70,t070,1,1
71,t071,1,1
72,t072,1,1
73,t073,1,1
74,t074,1,1
75,t075,1,1
76,t076,1,1
77,t077,1,1
78,t078,1,1
79,t079,1,1
80,t080,1,1
81,t081,1,1
82,t082,1,1
83,t083,1,1
84,t084,1,1
85,t085,1,1
86,t086,1,1
87,t087,1,1
88,t088,1,1
89,t089,1,1
90,t090,1,1
91,t091,1,1
92,t092,1,1
93,t093,1,1
94,t094,1,1
95,t095,1,1
96,t096,1,1
97,t097,1,1
98,t098,1,1
99,t099,1,1
