index,logical_time,temperature
0,t000,24.00
1,t001,24.10
2,t002,24.20
3,t003,24.30
4,t004,24.40
5,t005,24.00
6,t006,24.10
7,t007,24.20
8,t008,24.30
9,t009,24.40
10,t010,24.00
11,t011,24.10
12,t012,24.20
13,t013,24.30
14,t014,24.40
15,t015,24.00
16,t016,24.10
17,t017,24.20
18,t018,24.30
19,t019,24.40
20,t020,24.00
21,t021,24.10
22,t022,24.20
23,t023,24.30
24,t024,24.40
25,t025,24.00
26,t026,24.10
27,t027,24.20
28,t028,24.30
29,t029,24.40
30,t030,31.50
31,t031,31.50
32,t032,31.50
33,t033,31.50
34,t034,31.50
35,t035,31.50
36,t036,31.50
37,t037,31.50
38,t038,31.50
39,t039,31.50
40,t040,31.50
41,t041,31.50
42,t042,31.50
43,t043,31.50
44,t044,31.50
45,t045,31.50
46,t046,24.10
47,t047,24.20
48,t048,24.30
49,t049,24.40
50,t050,24.00
51,t051,24.10
52,t052,24.20
53,t053,24.30
54,t054,24.40
55,t055,24.00
56,t056,24.10
57,t057,24.20
58,t058,24.30
59,t059,24.40
60,t060,24.00
61,t061,24.10
62,t062,24.20
63,t063,24.30
64,t064,24.40
65,t065,24.00
66,t066,24.10
67,t067,24.20
68,t068,24.30
69,t069,24.40
70,t070,24.00
71,t071,24.10
72,t072,24.20
73,t073,24.30
74,t074,24.40
75,t075,24.00
76,t076,24.10
77,t077,24.20
78,t078,24.30
79,t079,24.40
80,t080,24.00
81,t081,24.10
82,t082,24.20
83,t083,24.30
84,t084,24.40
85,t085,24.00
86,t086,24.10
87,t087,24.20
88,t088,24.30
89,t089,24.40
90,t090,24.00
91,t091,24.10
92,t092,24.20
93,t093,24.30
94,t094,24.40
95,t095,24.00
96,t096,24.10
97,t097,24.20
98,t098,24.30
99,t099,24.40
