index,logical_time,temperature,humidity,pressure
0,t000,24.00,45.00,1000.00
1,t001,24.20,45.50,1000.30
2,t002,24.40,46.00,1000.60
3,t003,24.60,46.50,1000.90
4,t004,24.80,47.00,1001.20
5,t005,25.00,47.50,1001.50
6,t006,25.20,48.00,1000.00
7,t007,24.00,48.50,1000.30
8,t008,24.20,49.00,1000.60
9,t009,24.40,49.50,1000.90
10,t010,24.60,45.00,1001.20
11,t011,24.80,45.50,1001.50
12,t012,25.00,46.00,1000.00
13,t013,25.20,46.50,1000.30
14,t014,24.00,47.00,1000.60
15,t015,24.20,47.50,1000.90
16,t016,24.40,48.00,1001.20
17,t017,24.60,48.50,1001.50
18,t018,24.80,49.00,1000.00
19,t019,25.00,49.50,1000.30
20,t020,25.20,45.00,1000.60
21,t021,24.00,45.50,1000.90
22,t022,24.20,46.00,1001.20
23,t023,24.40,46.50,1001.50
24,t024,24.60,47.00,1000.00
25,t025,24.80,47.50,1000.30
26,t026,25.00,48.00,1000.60
27,t027,25.20,48.50,1000.90
28,t028,24.00,49.00,1001.20
29,t029,24.20,49.50,1001.50
30,t030,24.40,45.00,1000.00
31,t031,24.60,45.50,1000.30
32,t032,24.80,46.00,1000.60
33,t033,25.00,46.50,1000.90
34,t034,25.20,47.00,1001.20
35,t035,32.00,47.50,1001.50
36,t036,32.00,48.00,1000.00
37,t037,32.00,48.50,1000.30
38,t038,32.00,49.00,1000.60
39,t039,32.00,49.50,1000.90
40,t040,32.00,45.00,1001.20
41,t041,32.00,45.50,1001.50
42,t042,32.00,46.00,1000.00
43,t043,32.00,46.50,1000.30
44,t044,32.00,47.00,1000.60
45,t045,32.00,47.50,1000.90
46,t046,32.00,48.00,1001.20
47,t047,32.00,48.50,1001.50
48,t048,32.00,49.00,1000.00
49,t049,32.00,49.50,1000.30
50,t050,32.00,45.00,1000.60
51,t051,24.40,45.50,1000.90
52,t052,24.60,46.00,1001.20
53,t053,24.80,46.50,1001.50
54,t054,25.00,47.00,1000.00
55,t055,25.20,47.50,1000.30
56,t056,24.00,48.00,1000.60
57,t057,24.20,48.50,1000.90
58,t058,24.40,49.00,1001.20
59,t059,24.60,49.50,1001.50
60,t060,24.80,45.00,1000.00
61,t061,25.00,45.50,1000.30
62,t062,25.20,46.00,1000.60
63,t063,24.00,46.50,1000.90
64,t064,24.20,47.00,1001.20
65,t065,24.40,47.50,1001.50
66,t066,24.60,48.00,1000.00
67,t067,24.80,48.50,1000.30
68,t068,25.00,49.00,1000.60
69,t069,25.20,49.50,1000.90
70,t070,24.00,45.00,1001.20
71,t071,24.20,45.50,1001.50
72,t072,24.40,46.00,1000.00
73,t073,24.60,46.50,1000.30
74,t074,24.80,47.00,1000.60
75,t075,25.00,47.50,1000.90
76,t076,25.20,48.00,1001.20
77,t077,24.00,48.50,1001.50
78,t078,24.20,49.00,1000.00
79,t079,24.40,49.50,1000.30
80,t080,24.60,45.00,1000.60
81,t081,24.80,45.50,1000.90
82,t082,25.00,46.00,1001.20
83,t083,25.20,46.50,1001.50
84,t084,24.00,47.00,1000.00
85,t085,24.20,47.50,1000.30
86,t086,24.40,48.00,1000.60
87,t087,24.60,48.50,1000.90
88,t088,24.80,49.00,1001.20
89,t089,25.00,49.50,1001.50
90,t090,25.20,45.00,1000.00
91,t091,24.00,45.50,1000.30
92,t092,24.20,46.00,1000.60
93,t093,24.40,46.50,1000.90
94,t094,24.60,47.00,1001.20
95,t095,24.80,47.50,1001.50
96,t096,25.00,48.00,1000.00
97,t097,25.20,48.50,1000.30
98,t098,24.00,49.00,1000.60
99,t099,24.20,49.50,1000.90
