index,logical_time,anonymous_customer_hash,visits_in_window,flow_count
0,t000,5393549962977150,18.00,18.00
1,t001,5653362017064410,20.00,19.00
2,t002,5456358120703760,22.00,20.00
3,t003,5338645840420930,24.00,21.00
4,t004,3063490190589120,22.00,22.00
5,t005,3613489682208311,19.00,18.00
6,t006,6095069423867332,21.00,19.00
7,t007,5715705934096348,23.00,20.00
8,t008,3732471410183667,21.00,21.00
9,t009,9595144871506151,23.00,22.00
10,t010,1868305565750927,20.00,18.00
11,t011,5807955749524914,22.00,19.00
12,t012,5962249126575690,20.00,20.00
13,t013,3771889392092699,22.00,21.00
14,t014,7406216113230936,24.00,22.00
15,t015,2192945800052596,21.00,18.00
16,t016,3804439268554117,19.00,19.00
17,t017,5393549962977150,21.00,20.00
18,t018,5653362017064410,23.00,21.00
19,t019,5456358120703760,25.00,22.00
20,t020,5338645840420930,18.00,18.00
21,t021,3063490190589120,20.00,19.00
22,t022,3613489682208311,22.00,20.00
23,t023,6095069423867332,24.00,21.00
24,t024,5715705934096348,22.00,22.00
25,t025,3732471410183667,19.00,18.00
26,t026,9595144871506151,21.00,19.00
27,t027,1868305565750927,23.00,20.00
28,t028,5807955749524914,21.00,21.00
29,t029,5962249126575690,23.00,22.00
30,t030,3771889392092699,20.00,18.00
31,t031,7406216113230936,22.00,19.00
32,t032,2192945800052596,20.00,20.00
33,t033,3804439268554117,22.00,21.00
34,t034,5393549962977150,24.00,22.00
35,t035,5653362017064410,21.00,18.00
36,t036,5456358120703760,19.00,19.00
37,t037,5338645840420930,21.00,20.00
38,t038,3063490190589120,23.00,21.00
39,t039,3613489682208311,25.00,22.00
40,t040,6095069423867332,18.00,18.00
41,t041,5715705934096348,20.00,19.00
42,t042,3732471410183667,22.00,20.00
43,t043,9595144871506151,24.00,21.00
44,t044,1868305565750927,22.00,22.00
45,t045,5807955749524914,19.00,18.00
46,t046,5962249126575690,21.00,19.00
47,t047,3771889392092699,23.00,20.00
48,t048,7406216113230936,21.00,21.00
49,t049,2192945800052596,23.00,22.00
50,t050,3804439268554117,40.00,38.00
51,t051,5393549962977150,39.00,36.00
52,t052,5653362017064410,37.00,37.00
53,t053,5456358120703760,39.00,38.00
54,t054,5338645840420930,38.00,36.00
55,t055,3063490190589120,40.00,37.00
56,t056,3613489682208311,38.00,38.00
57,t057,6095069423867332,37.00,36.00
58,t058,5715705934096348,39.00,37.00
59,t059,3732471410183667,41.00,38.00
60,t060,9595144871506151,36.00,36.00
61,t061,1868305565750927,38.00,37.00
62,t062,5807955749524914,40.00,38.00
63,t063,5962249126575690,39.00,36.00
64,t064,3771889392092699,37.00,37.00
65,t065,7406216113230936,39.00,38.00
66,t066,2192945800052596,21.00,19.00
67,t067,3804439268554117,23.00,20.00
68,t068,5393549962977150,21.00,21.00
69,t069,5653362017064410,23.00,22.00
70,t070,5456358120703760,20.00,18.00
71,t071,5338645840420930,22.00,19.00
72,t072,3063490190589120,20.00,20.00
73,t073,3613489682208311,22.00,21.00
74,t074,6095069423867332,24.00,22.00
75,t075,5715705934096348,21.00,18.00
76,t076,3732471410183667,19.00,19.00
77,t077,9595144871506151,21.00,20.00
78,t078,1868305565750927,23.00,21.00
79,t079,5807955749524914,25.00,22.00
80,t080,5962249126575690,18.00,18.00
81,t081,3771889392092699,20.00,19.00
82,t082,7406216113230936,22.00,20.00
83,t083,2192945800052596,24.00,21.00
84,t084,3804439268554117,22.00,22.00
85,t085,5393549962977150,19.00,18.00
86,t086,5653362017064410,21.00,19.00
87,t087,5456358120703760,23.00,20.00
88,t088,5338645840420930,21.00,21.00
89,t089,3063490190589120,23.00,22.00
90,t090,3613489682208311,20.00,18.00
91,t091,6095069423867332,22.00,19.00
92,t092,5715705934096348,20.00,20.00
93,t093,3732471410183667,22.00,21.00
94,t094,9595144871506151,24.00,22.00
95,t095,1868305565750927,21.00,18.00
96,t096,5807955749524914,19.00,19.00
97,t097,5962249126575690,21.00,20.00
98,t098,3771889392092699,23.00,21.00
99,t099,7406216113230936,25.00,22.00
