index,logical_time,signal,hysteresis_state
0,h000,8.60,0
1,h001,8.70,0
2,h002,8.80,0
3,h003,8.60,0
4,h004,8.70,0
5,h005,8.80,0
6,h006,8.60,0
7,h007,8.70,0
8,h008,8.80,0
9,h009,8.60,0
10,h010,8.70,0
11,h011,8.80,0
12,h012,9.40,0
13,h013,9.60,0
14,h014,9.80,0
15,h015,10.00,0
16,h016,9.40,0
17,h017,9.60,0
18,h018,9.80,0
19,h019,10.00,0
20,h020,9.40,0
21,h021,9.60,0
22,h022,9.80,0
23,h023,10.00,0
24,h024,10.60,0
25,h025,10.80,0
26,h026,11.00,1
27,h027,10.60,1
28,h028,10.80,1
29,h029,11.00,1
30,h030,10.60,1
31,h031,10.80,1
32,h032,11.00,1
33,h033,10.60,1
34,h034,10.80,1
35,h035,11.00,1
36,h036,11.20,1
37,h037,11.30,1
38,h038,11.20,1
39,h039,11.30,1
40,h040,11.20,1
41,h041,11.30,1
42,h042,11.20,1
43,h043,11.30,1
44,h044,11.20,1
45,h045,11.30,1
46,h046,11.20,1
47,h047,11.30,1
48,h048,8.70,0
49,h049,8.80,0
50,h050,8.90,0
51,h051,8.70,0
52,h052,8.80,0
53,h053,8.90,0
54,h054,8.70,0
55,h055,8.80,0
56,h056,8.90,0
57,h057,8.70,0
58,h058,8.80,0
59,h059,8.90,0
60,h060,10.00,0
61,h061,10.15,0
62,h062,10.30,0
63,h063,10.45,0
64,h064,10.00,0
65,h065,10.15,0
66,h066,10.30,0
67,h067,10.45,0
68,h068,10.00,0
69,h069,10.15,0
70,h070,10.30,0
71,h071,10.45,0
72,h072,11.30,1
73,h073,11.40,1
74,h074,11.30,1
75,h075,11.40,1
76,h076,11.30,1
77,h077,11.40,1
78,h078,11.30,1
79,h079,11.40,1
80,h080,11.30,1
81,h081,11.40,1
82,h082,11.30,1
83,h083,11.40,1
84,h084,8.50,0
85,h085,8.60,0
86,h086,8.70,0
87,h087,8.80,0
88,h088,8.50,0
89,h089,8.60,0
90,h090,8.70,0
91,h091,8.80,0
92,h092,8.50,0
93,h093,8.60,0
94,h094,8.70,0
95,h095,8.80,0
96,h096,8.50,0
97,h097,8.60,0
98,h098,8.70,0
99,h099,8.80,0
