index,logical_time,signal
0,t000,7.00
1,t001,7.10
2,t002,7.20
3,t003,7.30
4,t004,7.40
5,t005,7.00
6,t006,7.10
7,t007,7.20
8,t008,7.30
9,t009,7.40
10,t010,7.00
11,t011,7.10
12,t012,7.20
13,t013,7.30
14,t014,7.40
15,t015,7.00
16,t016,7.10
17,t017,7.20
18,t018,7.30
19,t019,7.40
20,t020,7.00
21,t021,7.10
22,t022,7.20
23,t023,7.30
24,t024,7.40
25,t025,7.00
26,t026,7.10
27,t027,7.20
28,t028,7.30
29,t029,7.40
30,t030,7.00
31,t031,7.10
32,t032,7.20
33,t033,7.30
34,t034,7.40
35,t035,7.00
36,t036,7.10
37,t037,7.20
38,t038,7.30
39,t039,7.40
40,t040,12.50
41,t041,12.50
42,t042,12.50
43,t043,12.50
44,t044,12.50
45,t045,12.50
46,t046,12.50
47,t047,12.50
48,t048,12.50
49,t049,12.50
50,t050,12.50
51,t051,12.50
52,t052,12.50
53,t053,12.50
54,t054,12.50
55,t055,12.50
56,t056,7.10
57,t057,7.20
58,t058,7.30
59,t059,7.40
60,t060,7.00
61,t061,7.10
62,t062,7.20
63,t063,7.30
64,t064,7.40
65,t065,7.00
66,t066,7.10
67,t067,7.20
68,t068,7.30
69,t069,7.40
70,t070,7.00
71,t071,7.10
72,t072,7.20
73,t073,7.30
74,t074,7.40
75,t075,7.00
76,t076,7.10
77,t077,7.20
78,t078,7.30
79,t079,7.40
80,t080,7.00
81,t081,7.10
82,t082,7.20
83,t083,7.30
84,t084,7.40
85,t085,7.00
86,t086,7.10
87,t087,7.20
88,t088,7.30
89,t089,7.40
90,t090,7.00
91,t091,7.10
92,t092,7.20
93,t093,7.30
94,t094,7.40
95,t095,7.00
96,t096,7.10
97,t097,7.20
98,t098,7.30
99,t099,7.40
