index,logical_time,subcarrier_mean_amplitude,subcarrier_amplitude_variance,phase_delta,motion_score
0,csi000,1.006414,0.000749,0.000000,0.125989
1,csi001,1.005179,0.000799,0.030000,0.144394
2,csi002,1.003822,0.000846,0.030000,0.144768
3,csi003,1.002382,0.000884,0.030000,0.145069
4,csi004,1.000900,0.000909,0.030000,0.145268
5,csi005,0.999418,0.000919,0.030000,0.145353
6,csi006,0.997981,0.000916,0.030000,0.145327
7,csi007,0.996628,0.000902,0.030000,0.145214
8,csi008,0.995399,0.000881,0.030000,0.145049
9,csi009,0.994330,0.000859,0.030000,0.144876
10,csi010,0.993451,0.000843,0.030000,0.144742
11,csi011,0.992787,0.000837,0.030000,0.144693
12,csi012,0.992359,0.000846,0.030000,0.144765
13,csi013,0.992177,0.000872,0.030000,0.144977
14,csi014,0.992248,0.000917,0.030000,0.145336
15,csi015,0.992569,0.000978,0.030000,0.145826
16,csi016,0.993131,0.001052,0.030000,0.146415
17,csi017,0.993918,0.001132,0.030000,0.147057
18,csi018,0.994907,0.001212,0.030000,0.147694
19,csi019,0.996070,0.001283,0.030000,0.148266
20,csi020,0.997373,0.001339,0.030000,0.148714
21,csi021,0.998778,0.001374,0.030000,0.148990
22,csi022,1.000245,0.001382,0.030000,0.149059
23,csi023,1.001733,0.001363,0.030000,0.148905
24,csi024,1.003197,0.001317,0.030000,0.148534
25,csi025,1.004595,0.001246,0.030000,0.147971
26,csi026,1.005888,0.001157,0.030000,0.147259
27,csi027,1.007038,0.001057,0.030000,0.146456
28,csi028,1.008012,0.000953,0.030000,0.145627
29,csi029,1.008782,0.000855,0.030000,0.144838
30,csi030,1.009325,0.000769,0.030000,0.144150
31,csi031,1.009626,0.000701,0.030000,0.143611
32,csi032,1.009677,0.000657,0.030000,0.143254
33,csi033,1.009475,0.000636,0.030000,0.143092
34,csi034,1.009027,0.000640,0.030000,0.143118
35,csi035,1.008346,0.000663,0.030000,0.143308
36,csi036,1.007450,0.000703,0.030000,0.143620
37,csi037,1.006367,0.000751,0.030000,0.144005
38,csi038,1.005127,0.000801,0.030000,0.144409
39,csi039,1.003766,0.000848,0.030000,0.144781
40,csi040,1.002323,0.000885,0.030000,0.145079
41,csi041,1.057714,0.000980,0.030807,0.190008
42,csi042,1.113107,0.001160,0.030807,0.235126
43,csi043,1.168546,0.001421,0.030807,0.280893
44,csi044,1.224071,0.001761,0.030807,0.327293
45,csi045,1.279722,0.002178,0.030807,0.374310
46,csi046,1.335533,0.002671,0.030807,0.421931
47,csi047,1.391536,0.003237,0.030807,0.470138
48,csi048,1.447756,0.003873,0.030807,0.518911
49,csi049,1.504211,0.004577,0.030807,0.568219
50,csi050,1.560913,0.005342,0.030807,0.618020
51,csi051,1.617868,0.006162,0.030807,0.668264
52,csi052,1.675072,0.007031,0.030807,0.718888
53,csi053,1.675644,0.006988,0.030000,0.718060
54,csi054,1.619565,0.006060,0.029193,0.666475
55,csi055,1.563688,0.005210,0.029193,0.615992
56,csi056,1.507984,0.004437,0.029193,0.566130
57,csi057,1.452417,0.003741,0.029193,0.516886
58,csi058,1.396952,0.003122,0.029193,0.468252
59,csi059,1.341548,0.002578,0.029193,0.420223
60,csi060,1.286161,0.002110,0.029193,0.372799
61,csi061,1.230749,0.001719,0.029193,0.325985
62,csi062,1.175271,0.001404,0.029193,0.279792
63,csi063,1.119685,0.001170,0.029193,0.234236
64,csi064,1.063954,0.001018,0.029193,0.189337
65,csi065,1.008047,0.000949,0.029193,0.145110
66,csi066,1.008808,0.000851,0.030000,0.144808
67,csi067,1.009342,0.000766,0.030000,0.144125
68,csi068,1.009633,0.000699,0.030000,0.143593
69,csi069,1.009673,0.000655,0.030000,0.143243
70,csi070,1.009462,0.000636,0.030000,0.143089
71,csi071,1.009004,0.000640,0.030000,0.143123
72,csi072,1.008314,0.000665,0.030000,0.143318
73,csi073,1.007410,0.000704,0.030000,0.143635
74,csi074,1.006320,0.000753,0.030000,0.144022
75,csi075,1.005074,0.000803,0.030000,0.144425
76,csi076,1.003709,0.000849,0.030000,0.144795
77,csi077,1.002264,0.000886,0.030000,0.145089
78,csi078,1.000780,0.000910,0.030000,0.145279
79,csi079,0.999301,0.000919,0.030000,0.145355
80,csi080,0.997868,0.000915,0.030000,0.145321
81,csi081,0.996524,0.000900,0.030000,0.145202
82,csi082,0.995307,0.000879,0.030000,0.145035
83,csi083,0.994252,0.000858,0.030000,0.144863
84,csi084,0.993389,0.000842,0.030000,0.144735
85,csi085,0.992744,0.000837,0.030000,0.144694
86,csi086,0.992335,0.000847,0.030000,0.144776
87,csi087,0.992174,0.000875,0.030000,0.145001
88,csi088,0.992265,0.000921,0.030000,0.145371
89,csi089,0.992605,0.000984,0.030000,0.145870
90,csi090,0.993186,0.001058,0.030000,0.146466
91,csi091,0.993990,0.001139,0.030000,0.147109
92,csi092,0.994994,0.001218,0.030000,0.147743
93,csi093,0.996170,0.001288,0.030000,0.148307
94,csi094,0.997482,0.001343,0.030000,0.148743
95,csi095,0.998894,0.001375,0.030000,0.149003
96,csi096,1.000365,0.001382,0.030000,0.149055
97,csi097,1.001851,0.001360,0.030000,0.148883
98,csi098,1.003312,0.001312,0.030000,0.148496
99,csi099,1.004703,0.001240,0.030000,0.147919
